,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
14,15,143.0,0.0,USA,225000000.0,291021565.0,548573,2536.0,733.0,118000,0.0,15000.0,3000.0,748.0,20495,7.2,Good
15,16,150.0,4.0,USA,225000000.0,141614023.0,149922,438.0,258.0,0,80.0,22000.0,216.0,201.0,22697,6.6,Good
16,17,173.0,3.0,USA,220000000.0,623279547.0,995415,1722.0,703.0,123000,0.0,26000.0,21000.0,19000.0,87697,8.1,Excellent
17,18,136.0,4.0,USA,250000000.0,241063875.0,370704,484.0,448.0,58000,252.0,40000.0,11000.0,1000.0,54083,6.7,Good
18,19,106.0,1.0,USA,225000000.0,179020854.0,268154,341.0,451.0,40000,188.0,10000.0,816.0,718.0,12572,6.8,Good
19,20,164.0,0.0,New Zealand,250000000.0,255108370.0,354228,802.0,422.0,65000,0.0,5000.0,972.0,773.0,9152,7.5,Good
20,21,153.0,0.0,USA,230000000.0,262030663.0,451803,1225.0,599.0,56000,464.0,15000.0,10000.0,963.0,28489,7.0,Good
21,22,156.0,0.0,USA,200000000.0,105219735.0,211765,546.0,343.0,17000,0.0,891.0,882.0,738.0,3244,6.7,Good
22,23,186.0,6.0,USA,225000000.0,258355354.0,483540,951.0,509.0,83000,0.0,5000.0,972.0,773.0,9152,7.9,Good
23,24,113.0,2.0,USA,180000000.0,70083519.0,149019,666.0,251.0,0,129.0,16000.0,6000.0,1000.0,24106,6.1,Good
24,25,201.0,0.0,New Zealand,207000000.0,218051260.0,316018,2618.0,446.0,0,0.0,6000.0,919.0,84.0,7123,7.2,Good
25,26,194.0,0.0,USA,200000000.0,658672302.0,793059,2528.0,315.0,26000,0.0,29000.0,14000.0,794.0,45223,7.7,Good
26,27,147.0,0.0,USA,250000000.0,407197282.0,272670,1022.0,516.0,72000,94.0,21000.0,19000.0,11000.0,64798,8.2,Excellent
27,28,131.0,0.0,USA,209000000.0,65173160.0,202382,751.0,377.0,44000,532.0,14000.0,10000.0,627.0,26679,5.9,Fair
28,29,124.0,0.0,USA,150000000.0,652177271.0,418214,1290.0,644.0,150000,365.0,3000.0,2000.0,1000.0,8458,7.0,Good
29,30,143.0,0.0,UK,200000000.0,304360277.0,522030,1498.0,750.0,80000,0.0,883.0,563.0,393.0,2039,7.8,Good
30,31,135.0,1.0,USA,200000000.0,373377893.0,411164,1303.0,300.0,0,0.0,24000.0,11000.0,4000.0,43388,7.3,Good
31,32,195.0,3.0,USA,200000000.0,408992272.0,557489,1187.0,608.0,95000,1000.0,21000.0,4000.0,3000.0,30426,7.2,Good
32,33,108.0,0.0,USA,200000000.0,334185206.0,306320,736.0,451.0,24000,13000.0,40000.0,25000.0,11000.0,79957,6.5,Good
33,34,104.0,0.0,Canada,210000000.0,234360014.0,383427,1912.0,334.0,0,420.0,20000.0,808.0,560.0,21714,6.8,Good
34,35,104.0,0.0,USA,200000000.0,268488329.0,235025,265.0,376.0,44000,37.0,12000.0,779.0,760.0,14863,7.3,Good
35,36,150.0,0.0,USA,200000000.0,402076689.0,323207,1439.0,366.0,0,0.0,894.0,581.0,464.0,3218,6.0,Fair
36,37,165.0,2.0,USA,210000000.0,245428137.0,242420,918.0,378.0,56000,0.0,974.0,956.0,808.0,3988,5.7,Fair
37,38,130.0,4.0,USA,215000000.0,234903076.0,175409,511.0,525.0,60000,0.0,44000.0,15000.0,11000.0,73441,6.4,Good
38,39,142.0,0.0,USA,200000000.0,202853933.0,321227,1067.0,495.0,41000,464.0,15000.0,10000.0,825.0,28631,6.7,Good
39,40,125.0,0.0,USA,170000000.0,172051787.0,264183,665.0,469.0,30000,364.0,12000.0,10000.0,1000.0,25550,6.8,Good
40,41,106.0,0.0,USA,200000000.0,191450875.0,101178,283.0,304.0,10000,487.0,1000.0,919.0,776.0,4482,6.3,Good
41,42,123.0,2.0,USA,200000000.0,116593191.0,223393,550.0,436.0,24000,258.0,16000.0,368.0,326.0,17657,5.6,Fair
42,43,103.0,3.0,USA,200000000.0,414984497.0,544884,733.0,453.0,30000,125.0,15000.0,1000.0,721.0,19085,8.3,Excellent
43,44,118.0,0.0,USA,200000000.0,125320003.0,286095,974.0,422.0,0,368.0,23000.0,3000.0,988.0,27468,6.6,Good
44,45,140.0,0.0,USA,190000000.0,350034110.0,278232,657.0,424.0,94000,0.0,26000.0,23000.0,14000.0,79150,7.2,Good
45,46,123.0,0.0,USA,190000000.0,202351611.0,465019,995.0,654.0,129000,395.0,17000.0,11000.0,1000.0,32392,7.0,Good
46,47,149.0,7.0,USA,200000000.0,233914986.0,514125,752.0,539.0,82000,0.0,34000.0,22000.0,20000.0,91434,8.0,Good
47,48,132.0,0.0,USA,190000000.0,228756232.0,395573,1171.0,590.0,92000,14000.0,19000.0,981.0,928.0,21411,7.8,Good
48,49,114.0,1.0,USA,195000000.0,65171860.0,106416,205.0,338.0,22000,0.0,979.0,557.0,140.0,1766,6.3,Good
49,50,143.0,4.0,Australia,105000000.0,144812796.0,362912,753.0,490.0,115000,1000.0,29000.0,509.0,77.0,29770,7.3,Good
50,51,116.0,2.0,USA,200000000.0,90755643.0,222403,453.0,306.0,23000,179.0,15000.0,567.0,236.0,16149,6.6,Good
51,52,131.0,0.0,USA,190000000.0,101785482.0,381148,1106.0,575.0,83000,0.0,16000.0,968.0,919.0,19166,7.0,Good
52,53,154.0,2.0,USA,195000000.0,352358779.0,326180,899.0,428.0,46000,0.0,894.0,829.0,581.0,2593,6.3,Good
53,54,122.0,2.0,USA,185000000.0,317011114.0,333847,2054.0,470.0,5000,14000.0,11000.0,1000.0,1000.0,14959,6.2,Good
54,55,93.0,0.0,USA,,123070338.0,62836,345.0,298.0,20000,113.0,275.0,150.0,113.0,696,6.8,Good
55,56,93.0,0.0,USA,185000000.0,237282182.0,273556,428.0,488.0,39000,56.0,2000.0,1000.0,838.0,5005,7.2,Good
56,57,122.0,4.0,USA,185000000.0,130468626.0,53607,432.0,322.0,30000,681.0,998.0,119.0,105.0,1327,7.5,Good
57,58,98.0,0.0,USA,180000000.0,223806889.0,718837,1043.0,421.0,16000,475.0,1000.0,729.0,522.0,2975,8.4,Excellent
58,59,91.0,2.0,USA,140000000.0,140080850.0,121084,221.0,162.0,0,420.0,268.0,268.0,173.0,1125,6.2,Good
59,60,158.0,0.0,USA,200000000.0,166112167.0,283418,1055.0,367.0,13000,776.0,1000.0,468.0,310.0,2144,5.8,Fair
60,61,96.0,0.0,USA,200000000.0,137850096.0,72809,249.0,240.0,0,0.0,18000.0,14000.0,10000.0,48878,6.8,Good
61,62,127.0,1.0,USA,176000000.0,47375327.0,139593,720.0,384.0,44000,0.0,17000.0,15000.0,13000.0,47334,5.4,Fair
62,63,110.0,2.0,USA,180000000.0,124051759.0,42372,239.0,248.0,29000,282.0,11000.0,10000.0,103.0,21175,6.6,Good
63,64,150.0,5.0,USA,180000000.0,291709845.0,286506,1463.0,284.0,0,80.0,1000.0,190.0,82.0,1317,6.9,Good
64,65,144.0,6.0,USA,178000000.0,154985087.0,148379,622.0,396.0,54000,0.0,34000.0,13000.0,1000.0,49684,7.3,Good
65,66,152.0,0.0,USA,185000000.0,533316061.0,1676169,4667.0,645.0,37000,22000.0,23000.0,13000.0,11000.0,57802,9.0,Excellent
66,67,96.0,1.0,USA,175000000.0,292979556.0,665575,704.0,408.0,27000,0.0,1000.0,848.0,262.0,2635,8.3,Excellent
67,68,94.0,2.0,USA,175000000.0,198332128.0,114553,187.0,219.0,0,11.0,1000.0,973.0,459.0,2579,6.5,Good
68,69,126.0,3.0,USA,140000000.0,318298180.0,696338,1055.0,486.0,10000,4000.0,21000.0,12000.0,4000.0,39252,7.9,Good
69,70,126.0,0.0,USA,170000000.0,73820094.0,245333,678.0,682.0,42000,17000.0,17000.0,16000.0,1000.0,36017,7.5,Good
70,71,106.0,2.0,USA,170000000.0,113745408.0,129601,648.0,85.0,0,188.0,10000.0,4000.0,582.0,15870,4.8,Fair
71,72,112.0,2.0,USA,145000000.0,102176165.0,117927,501.0,264.0,0,357.0,5000.0,3000.0,595.0,9131,5.2,Fair
72,73,123.0,8.0,USA,175000000.0,161087183.0,118992,971.0,418.0,80000,452.0,10000.0,336.0,329.0,11287,6.9,Good
73,74,96.0,0.0,USA,175000000.0,100289690.0,115099,257.0,186.0,2000,293.0,87000.0,11000.0,7000.0,108016,5.4,Fair
74,75,113.0,1.0,USA,178000000.0,100189501.0,431620,741.0,585.0,77000,218.0,10000.0,854.0,509.0,12652,7.9,Good
75,76,176.0,0.0,USA,175000000.0,88246220.0,144337,309.0,91.0,0,58.0,711.0,60.0,60.0,1004,6.1,Good
76,77,118.0,4.0,USA,175000000.0,150167630.0,174578,534.0,250.0,0,208.0,23000.0,2000.0,570.0,26683,5.8,Fair
77,78,95.0,1.0,USA,175000000.0,356454367.0,345198,773.0,536.0,118000,0.0,1000.0,767.0,384.0,2944,8.3,Excellent
78,79,106.0,0.0,UK,175000000.0,362645141.0,106072,398.0,370.0,65000,4000.0,19000.0,13000.0,591.0,32921,7.8,Good
79,80,124.0,4.0,USA,200000000.0,312057433.0,522371,723.0,453.0,18000,4000.0,21000.0,19000.0,4000.0,48638,7.0,Good
80,81,132.0,0.0,USA,170000000.0,155111815.0,228554,710.0,416.0,53000,274.0,26000.0,17000.0,11000.0,72881,6.1,Good
81,82,97.0,2.0,USA,180000000.0,241407328.0,252257,634.0,401.0,89000,171.0,11000.0,2000.0,846.0,15516,7.0,Good
82,83,130.0,0.0,USA,170000000.0,208543795.0,317542,620.0,521.0,45000,198.0,10000.0,2000.0,884.0,14363,7.6,Good
83,84,109.0,3.0,Belgium,,,2138,15.0,10.0,677,596.0,622.0,525.0,283.0,1982,4.5,Fair
84,85,128.0,2.0,USA,175000000.0,38297305.0,116994,324.0,218.0,35000,47.0,18000.0,1000.0,982.0,20965,6.3,Good
85,86,136.0,1.0,USA,170000000.0,259746958.0,496749,742.0,576.0,55000,94.0,19000.0,11000.0,2000.0,36188,7.8,Good
86,87,93.0,2.0,USA,165000000.0,238371987.0,138661,173.0,226.0,0,31.0,4000.0,225.0,213.0,4628,6.4,Good
87,88,130.0,2.0,USA,190000000.0,93417865.0,128306,497.0,443.0,37000,663.0,2000.0,638.0,604.0,5046,6.5,Good
88,89,102.0,0.0,USA,165000000.0,222487711.0,279093,433.0,384.0,41000,38.0,756.0,719.0,562.0,2963,7.9,Good
89,90,101.0,1.0,USA,165000000.0,189412677.0,272534,345.0,377.0,40000,66.0,975.0,931.0,833.0,4451,7.8,Good
90,91,100.0,0.0,USA,165000000.0,665426.0,120798,444.0,188.0,10000,0.0,15000.0,726.0,267.0,16264,6.6,Good
91,92,120.0,0.0,USA,165000000.0,102315545.0,58137,520.0,286.0,67000,776.0,890.0,812.0,535.0,3233,5.5,Fair
92,93,98.0,0.0,USA,165000000.0,217387997.0,485430,492.0,288.0,33000,255.0,18000.0,953.0,759.0,20453,8.2,Excellent
93,94,109.0,0.0,USA,200000000.0,150350192.0,305340,1676.0,280.0,0,84.0,648.0,284.0,191.0,1769,6.4,Good
94,95,121.0,3.0,USA,170000000.0,333130696.0,682155,1097.0,653.0,96000,571.0,14000.0,14000.0,3000.0,32438,8.1,Excellent
95,96,169.0,1.0,USA,165000000.0,187991439.0,928227,2725.0,712.0,349000,22000.0,11000.0,11000.0,6000.0,31488,8.6,Excellent
96,97,148.0,0.0,USA,160000000.0,292568851.0,1468200,2803.0,642.0,175000,22000.0,29000.0,27000.0,23000.0,81115,8.8,Excellent
97,98,120.0,0.0,Japan,,,374,13.0,1.0,0,28.0,544.0,106.0,12.0,699,8.2,Excellent
98,99,182.0,,USA,180000000.0,303001229.0,637246,1367.0,645.0,166000,0.0,5000.0,972.0,773.0,9152,7.9,Good
99,100,106.0,2.0,USA,38000000.0,144512310.0,272223,988.0,187.0,14000,357.0,23000.0,14000.0,4000.0,45327,6.7,Good
100,101,166.0,2.0,USA,150000000.0,127490802.0,459346,822.0,362.0,23000,21000.0,11000.0,1000.0,919.0,13333,7.8,Good
101,102,132.0,3.0,USA,160000000.0,146405371.0,518537,698.0,500.0,54000,905.0,34000.0,13000.0,1000.0,50983,7.8,Good
102,103,137.0,1.0,USA,160000000.0,281666058.0,166137,383.0,389.0,38000,508.0,34000.0,22000.0,14000.0,81385,6.6,Good
103,104,109.0,0.0,USA,150000000.0,63143812.0,124185,238.0,235.0,11000,226.0,12000.0,418.0,370.0,13388,6.1,Good
104,105,98.0,0.0,USA,160000000.0,60655503.0,82380,629.0,231.0,0,249.0,87000.0,2000.0,702.0,92456,5.6,Fair
105,106,113.0,1.0,USA,170000000.0,76846624.0,21352,131.0,218.0,30000,33.0,40000.0,25000.0,11000.0,80806,6.4,Good
106,107,93.0,2.0,USA,160000000.0,320706665.0,211971,326.0,227.0,0,50.0,3000.0,795.0,692.0,4705,6.1,Good
107,108,123.0,0.0,USA,160000000.0,46978995.0,111609,781.0,275.0,89000,0.0,3000.0,716.0,648.0,5505,7.3,Good
108,109,126.0,2.0,USA,155000000.0,89732035.0,188457,867.0,474.0,82000,230.0,24000.0,10000.0,2000.0,38873,6.6,Good
109,110,113.0,4.0,USA,155000000.0,104383624.0,106446,227.0,228.0,11000,150.0,531.0,82.0,59.0,764,6.3,Good
110,111,184.0,0.0,USA,140000000.0,198539855.0,254111,1999.0,191.0,0,0.0,3000.0,961.0,691.0,5401,6.1,Good
111,112,144.0,0.0,USA,150000000.0,318759914.0,513158,1782.0,396.0,8000,0.0,662.0,599.0,581.0,2333,7.1,Good
112,113,206.0,3.0,Germany,155000000.0,34293771.0,138863,1390.0,248.0,0,0.0,12000.0,11000.0,591.0,24598,5.5,Fair
113,114,138.0,3.0,UK,150000000.0,292000866.0,355137,1108.0,329.0,0,282.0,21000.0,11000.0,687.0,33433,7.5,Good
114,115,157.0,1.0,UK,150000000.0,289994397.0,385670,1896.0,295.0,0,179.0,21000.0,11000.0,10000.0,53413,7.6,Good
115,116,102.0,0.0,USA,150000000.0,227946274.0,343648,590.0,318.0,0,532.0,10000.0,9000.0,979.0,21584,6.4,Good
116,117,104.0,0.0,USA,150000000.0,256386216.0,530870,1413.0,323.0,11000,508.0,10000.0,1000.0,558.0,13076,7.2,Good
117,118,115.0,3.0,USA,150000000.0,206456431.0,320284,1361.0,276.0,0,13000.0,40000.0,16000.0,588.0,57844,6.7,Good
118,119,111.0,0.0,USA,150000000.0,206435493.0,473887,626.0,318.0,10000,663.0,1000.0,1000.0,954.0,4764,8.0,Good
119,120,128.0,0.0,USA,150000000.0,205343774.0,980946,2685.0,478.0,15000,22000.0,23000.0,14000.0,11000.0,59558,8.3,Excellent
120,121,89.0,0.0,USA,150000000.0,179982968.0,146019,119.0,167.0,0,35.0,1000.0,851.0,436.0,3285,6.7,Good
121,122,105.0,2.0,USA,150000000.0,177243721.0,130272,209.0,185.0,2000,189.0,49000.0,3000.0,1000.0,54039,5.9,Fair
122,123,119.0,0.0,USA,150000000.0,179883016.0,361924,641.0,350.0,0,151.0,20000.0,16000.0,2000.0,40054,6.7,Good
123,124,129.0,0.0,Australia,150000000.0,139259759.0,364948,2121.0,245.0,0,0.0,309.0,269.0,233.0,1062,6.7,Good
124,125,102.0,0.0,USA,150000000.0,400736600.0,421658,904.0,406.0,58000,69.0,1000.0,523.0,490.0,2582,7.6,Good
125,126,138.0,0.0,USA,150000000.0,281492479.0,421818,2789.0,275.0,0,0.0,234.0,198.0,30.0,534,7.2,Good
126,127,112.0,3.0,USA,170000000.0,206360018.0,414070,532.0,486.0,63000,230.0,26000.0,20000.0,12000.0,59803,7.1,Good
127,128,120.0,0.0,Australia,150000000.0,153629485.0,552503,1588.0,739.0,191000,750.0,27000.0,9000.0,943.0,40025,8.1,Excellent
128,129,146.0,2.0,USA,150000000.0,133375846.0,207839,435.0,298.0,0,2000.0,15000.0,745.0,294.0,16948,6.7,Good
129,130,115.0,1.0,USA,150000000.0,181015141.0,536314,738.0,516.0,63000,0.0,26000.0,20000.0,12000.0,60059,7.0,Good
130,131,96.0,0.0,USA,150000000.0,114053579.0,146766,178.0,225.0,0,59.0,17000.0,759.0,699.0,20007,6.9,Good
131,132,88.0,0.0,USA,150000000.0,119420252.0,33042,90.0,145.0,0,12.0,730.0,607.0,182.0,2217,5.1,Fair
132,133,99.0,0.0,USA,150000000.0,83640426.0,152826,253.0,310.0,19000,473.0,14000.0,897.0,502.0,16184,5.8,Fair
133,134,113.0,7.0,USA,100000000.0,79711678.0,199039,479.0,526.0,82000,13000.0,40000.0,17000.0,16000.0,80849,6.2,Good
134,135,131.0,0.0,China,150000000.0,195000874.0,232187,440.0,465.0,47000,188.0,10000.0,10000.0,641.0,21840,7.4,Good
135,136,119.0,0.0,USA,150000000.0,61937495.0,89442,432.0,357.0,0,394.0,12000.0,490.0,162.0,13071,5.8,Fair
136,137,110.0,2.0,USA,180000000.0,124051759.0,42372,239.0,248.0,29000,282.0,11000.0,10000.0,103.0,21175,6.6,Good
137,138,91.0,0.0,USA,150000000.0,126597121.0,105902,206.0,194.0,0,58.0,2000.0,852.0,826.0,6576,6.2,Good
138,139,90.0,0.0,USA,150000000.0,165230261.0,182718,209.0,284.0,20000,90.0,11000.0,10000.0,15.0,21015,7.3,Good
139,140,103.0,0.0,USA,150000000.0,131564731.0,118951,1382.0,280.0,18000,0.0,1000.0,756.0,346.0,2857,4.2,Fair
140,141,124.0,0.0,USA,150000000.0,133382309.0,256695,871.0,310.0,0,14000.0,22000.0,10000.0,979.0,34817,6.9,Good
141,142,131.0,2.0,USA,150000000.0,73103784.0,164238,434.0,339.0,33000,776.0,17000.0,551.0,256.0,18204,6.4,Good
142,143,88.0,0.0,USA,150000000.0,21379315.0,17590,112.0,132.0,0,25.0,921.0,562.0,433.0,2652,5.4,Fair
143,144,85.0,0.0,UK,149000000.0,64459316.0,85086,122.0,135.0,0,42.0,20000.0,14000.0,586.0,35161,6.7,Good
144,145,111.0,4.0,USA,150000000.0,34964818.0,39956,186.0,256.0,24000,456.0,20000.0,548.0,394.0,21393,5.8,Fair
145,146,92.0,2.0,USA,145000000.0,111505642.0,47900,130.0,196.0,11000,50.0,3000.0,1000.0,517.0,5810,6.9,Good
146,147,196.0,2.0,USA,175000000.0,133228348.0,381672,1694.0,220.0,0,249.0,11000.0,5000.0,844.0,17944,7.2,Good
147,148,93.0,0.0,USA,145000000.0,216366733.0,119213,154.0,211.0,17000,35.0,851.0,770.0,436.0,2444,6.9,Good
148,149,133.0,0.0,UK,142000000.0,160201106.0,169914,1185.0,264.0,0,93.0,769.0,766.0,746.0,2538,6.1,Good
149,150,116.0,4.0,USA,144000000.0,118099659.0,69757,1211.0,464.0,62000,176.0,783.0,370.0,322.0,2097,5.5,Fair
150,151,153.0,0.0,USA,140000000.0,201573391.0,322395,1171.0,167.0,11000,0.0,13000.0,12000.0,537.0,26029,6.6,Good
151,152,88.0,2.0,USA,140000000.0,190418803.0,270207,606.0,208.0,2000,188.0,10000.0,3000.0,826.0,14823,6.1,Good
152,153,115.0,1.0,USA,150000000.0,82161969.0,142440,505.0,287.0,3000,0.0,18000.0,12000.0,964.0,31523,6.3,Good
153,154,95.0,0.0,USA,145000000.0,143523463.0,64322,145.0,210.0,24000,5.0,24000.0,11000.0,967.0,36095,7.2,Good
154,155,133.0,3.0,USA,145000000.0,209364921.0,365104,512.0,432.0,35000,663.0,10000.0,10000.0,690.0,21768,7.4,Good
155,156,97.0,0.0,USA,145000000.0,103400692.0,123553,174.0,256.0,25000,52.0,20000.0,315.0,161.0,20645,7.3,Good
156,157,90.0,1.0,USA,100000000.0,110332737.0,110788,258.0,135.0,2000,23.0,957.0,550.0,233.0,1997,6.1,Good
157,158,154.0,1.0,USA,140000000.0,111110575.0,317166,928.0,190.0,0,380.0,10000.0,956.0,445.0,11945,7.7,Good
158,159,150.0,0.0,UK,140000000.0,65007045.0,128682,657.0,314.0,51000,0.0,23000.0,893.0,748.0,26490,6.1,Good
159,160,127.0,0.0,USA,150000000.0,257704099.0,504419,1559.0,518.0,19000,14000.0,26000.0,12000.0,981.0,39284,8.0,Good
160,161,121.0,0.0,USA,139000000.0,403706375.0,544665,2012.0,291.0,5000,0.0,24000.0,11000.0,4000.0,40484,7.3,Good
161,162,102.0,5.0,USA,145000000.0,176997107.0,221128,343.0,292.0,46000,255.0,18000.0,3000.0,953.0,23378,7.9,Good
162,163,126.0,4.0,USA,140000000.0,31141074.0,51892,273.0,184.0,24000,295.0,18000.0,934.0,284.0,19769,5.5,Fair
163,164,121.0,0.0,USA,135000000.0,31704416.0,45455,388.0,145.0,0,357.0,820.0,780.0,653.0,2705,5.0,Fair
164,165,215.0,1.0,USA,130000000.0,107503316.0,392474,1229.0,451.0,18000,0.0,986.0,745.0,413.0,2530,7.7,Good
165,166,127.0,2.0,USA,140000000.0,129734803.0,127497,287.0,141.0,0,503.0,5000.0,808.0,91.0,6171,6.6,Good
166,167,138.0,0.0,USA,137000000.0,132122995.0,212106,1445.0,267.0,0,0.0,820.0,300.0,258.0,1814,5.7,Fair
167,168,122.0,6.0,USA,130000000.0,122512052.0,146352,288.0,351.0,42000,209.0,17000.0,12000.0,934.0,31958,5.8,Fair
168,169,124.0,3.0,UK,130000000.0,68642452.0,77673,463.0,163.0,0,42.0,11000.0,973.0,848.0,13073,6.0,Fair
169,170,106.0,1.0,USA,137000000.0,32131830.0,72259,788.0,166.0,0,6.0,12000.0,2000.0,422.0,15015,6.4,Good
170,171,124.0,0.0,USA,140000000.0,176636816.0,508818,679.0,510.0,46000,394.0,11000.0,3000.0,2000.0,19761,6.9,Good
171,172,128.0,2.0,UK,135000000.0,126930660.0,157519,683.0,197.0,2000,150.0,766.0,536.0,244.0,2037,6.4,Good
172,173,138.0,1.0,USA,150000000.0,93926386.0,168207,684.0,244.0,0,608.0,613.0,172.0,168.0,1205,7.4,Good
173,174,115.0,3.0,USA,120000000.0,292298923.0,185394,329.0,322.0,65000,386.0,21000.0,17000.0,12000.0,59177,5.5,Fair
174,175,100.0,0.0,Australia,135000000.0,63992328.0,32399,79.0,156.0,0,750.0,49000.0,11000.0,988.0,62644,5.9,Fair
175,176,135.0,0.0,USA,150000000.0,134518390.0,326286,643.0,354.0,0,255.0,3000.0,1000.0,882.0,5811,6.8,Good
176,177,60.0,2.0,USA,1500000.0,,16769,74.0,21.0,0,,982.0,321.0,184.0,1687,7.5,Good
177,178,117.0,0.0,UK,140000000.0,52792307.0,12572,106.0,252.0,27000,14000.0,535.0,400.0,358.0,1950,6.8,Good
178,179,156.0,0.0,USA,135000000.0,183635922.0,406020,1188.0,556.0,190000,0.0,29000.0,27000.0,733.0,57108,8.1,Excellent
179,180,96.0,0.0,USA,135000000.0,83024900.0,62424,90.0,166.0,13000,13.0,16000.0,881.0,463.0,17416,6.5,Good
180,181,107.0,0.0,USA,135000000.0,123207194.0,183208,337.0,362.0,26000,563.0,40000.0,1000.0,939.0,43291,7.2,Good
181,182,92.0,0.0,USA,132000000.0,83348920.0,60230,118.0,153.0,11000,35.0,19000.0,411.0,179.0,19963,6.7,Good
182,183,115.0,0.0,USA,110000000.0,227137090.0,491077,820.0,329.0,0,521.0,13000.0,897.0,883.0,17369,8.1,Excellent
183,184,92.0,0.0,USA,130000000.0,215395021.0,307029,360.0,266.0,6000,54.0,11000.0,967.0,562.0,12754,7.6,Good
184,185,117.0,6.0,USA,130000000.0,180191634.0,313866,549.0,517.0,61000,235.0,2000.0,2000.0,680.0,5730,7.4,Good
185,186,146.0,1.0,USA,130000000.0,424645577.0,498397,706.0,502.0,82000,508.0,34000.0,14000.0,523.0,49355,7.6,Good
186,187,115.0,3.0,USA,120000000.0,292298923.0,185394,329.0,322.0,65000,386.0,21000.0,17000.0,12000.0,59177,5.5,Fair
187,188,94.0,0.0,USA,135000000.0,177343675.0,70121,214.0,165.0,26000,12.0,17000.0,523.0,183.0,17883,6.7,Good
188,189,116.0,0.0,USA,132000000.0,234277056.0,334345,2741.0,401.0,0,14000.0,10000.0,1000.0,807.0,12758,6.5,Good
189,190,147.0,1.0,USA,130000000.0,138396624.0,178126,511.0,94.0,0,0.0,10000.0,898.0,877.0,12954,6.6,Good
190,191,90.0,0.0,USA,130000000.0,149234747.0,114287,137.0,246.0,16000,50.0,4000.0,442.0,397.0,5046,6.7,Good
191,192,101.0,1.0,USA,110000000.0,118311368.0,245621,514.0,330.0,23000,176.0,11000.0,702.0,282.0,12406,6.4,Good
192,193,138.0,2.0,USA,125000000.0,101160529.0,200022,1240.0,434.0,71000,0.0,12000.0,9000.0,8000.0,32355,5.8,Fair
193,194,107.0,1.0,USA,135000000.0,77564037.0,177383,447.0,440.0,44000,14000.0,2000.0,871.0,845.0,4631,7.4,Good
194,195,142.0,3.0,UK,130000000.0,249358727.0,382255,1504.0,274.0,11000,0.0,11000.0,10000.0,10000.0,33284,7.8,Good
195,196,165.0,0.0,Australia,130000000.0,49551662.0,102338,450.0,245.0,0,1000.0,309.0,284.0,165.0,921,6.6,Good
196,197,100.0,0.0,USA,130000000.0,60522097.0,158720,744.0,349.0,37000,0.0,10000.0,943.0,894.0,14168,4.9,Fair
197,198,82.0,1.0,USA,127500000.0,137748063.0,38438,241.0,145.0,0,0.0,1000.0,558.0,388.0,2945,6.5,Good
198,199,,1.0,UK,,,381,2.0,1.0,40,0.0,10000.0,570.0,159.0,11036,7.5,Good
